"Transcript" "M1-10" "M1-13" "M1-28" "M1-3" "M1-30" "M1-31" "M1-32" "M1-8" "M2-13" "M2-14" "M2-15" "M2-17" "M3-26" "M3-28" "M3-4" "M3-5" "M3-8" "M3-9" "M4-1" "M4-17" "M4-18" "M4-21"
"2650" "FBtr0112612" 11.716 13.013 10.315 12.214 7.308 13.662 11.051 13.416 12.35 10.91 10.809 9.592 10.776 10.934 12.456 2.102 12.777 15.436 11.488 11.934 13.23 8.898
"2651" "FBtr0301525" 11.918 13.245 10.522 12.459 7.427 13.867 11.086 13.671 12.561 11.061 10.946 9.687 10.992 11.154 12.618 2.144 13.034 15.7 11.678 12.149 13.443 9.041
"2652" "FBtr0112611" 20.176 26.29 17.294 20.393 12.491 24.163 20.345 23.525 21.195 18.997 18.057 16.703 17.986 20.926 22.484 8.044 23.029 24.405 19.399 19.24 22.065 15.659
"2653" "FBtr0079405" 33.699 36.754 51.311 35.164 28.882 42.929 35.626 35.374 46.48 32.775 46.534 51.066 28.698 25.659 27.81 25.38 27.716 24.835 31.611 32.237 37.027 34.471
"2654" "FBtr0113028" 35.115 38.571 54.353 36.636 30.742 46.067 37.525 37.513 48.803 33.489 48.384 52.717 30.144 25.803 29.182 25.168 29.894 26.804 33.799 33.935 38.777 36.381
"2655" "FBtr0079419" 2.253 2.175 2.824 1.918 1.963 2.244 1.194 1.308 3.24 2.154 1.794 3.442 1.536 1.557 1.085 2.644 1.315 1.447 2.011 1.879 1.899 1.486
"2656" "FBtr0079418" 8.071 9.241 7.022 7.442 7.034 9.878 7.874 9.063 7.49 7.921 8.386 6.914 8.324 10.336 10.209 2.823 9.566 10.274 7.69 11.481 8.257 7.683
"2657" "FBtr0079416" 22.962 23.736 21.319 21.387 18.818 25.122 19.933 22.417 20.199 20.879 19.718 20.566 22.15 22.737 26.167 8.135 24.878 25.997 22.621 22.294 23.526 19.615
"2658" "FBtr0079417" 22.229 22.943 20.441 20.471 18.057 24.161 19.199 21.809 19.567 20.279 19.108 19.959 21.406 21.65 25.061 7.959 24.003 25.264 22.067 21.276 22.878 19.205
"2659" "FBtr0110799" 24.773 38.454 32.412 37.43 30.941 26.402 47.629 25.73 27.519 28.848 35.535 34.493 44.191 30.806 37.571 21.56 37.126 37.417 42.186 30.262 33.108 32.252
"2660" "FBtr0079414" 12.275 19.744 13.291 17.45 9.693 13.604 20.684 9.137 11.911 14.347 14.314 15.148 17.948 12.99 9.963 3.065 16.335 17.024 20.001 13.112 13.765 9.986
"2661" "FBtr0079413" 8.527 9.515 8.295 9.095 7.475 9.065 7.956 8.711 8.695 6.606 9.124 8.902 8.75 8.728 6.6 0.93 8.135 7.585 8.389 7.799 8.22 7.794
"2662" "FBtr0299539" 36.476 35.545 37.472 37.537 40.922 30.464 27.271 37.791 28.706 23.081 26.61 26.425 29.351 32.392 35.621 66.591 33.679 34.289 29.891 30.615 26.768 22.773
"2663" "FBtr0299537" 34.606 33.345 34.628 35.519 38.789 27.899 25.524 34.221 26.855 21.954 24.552 25.407 26.378 30.722 33.025 68.464 31.073 33.244 28.172 27.825 25.438 19.962
"2664" "FBtr0299538" 33.693 32.499 33.944 34.611 37.323 27.346 24.992 33.197 25.914 21.322 24.108 24.682 25.819 29.51 32.263 65.616 30.344 32.866 27.623 26.982 24.941 19.532
"2665" "FBtr0078101" 33.378 35.227 51.171 34.49 28.913 44.409 40.663 35.442 43.012 45.088 49.264 55.92 37.373 31.965 29.786 16.938 30.435 30.908 40.306 40.746 46.873 35.409
"2666" "FBtr0089291" 4.212 3.762 3.781 3.439 3.058 3.88 2.912 4.976 3.959 3.641 2.9 3.326 3.262 4.532 4.384 0.476 3.972 4.441 3.244 3.235 3.375 3.416
"2667" "FBtr0300459" 1.229 1.246 1.715 1.043 0.358 2.079 0.511 1.709 1.801 1.362 0.887 0.718 0.947 0.745 0.192 0 0.964 0.324 0.936 0.818 1.015 0.826
"2668" "FBtr0300460" 1.297 1.178 1.919 1.215 0.313 2.138 0.542 1.665 1.803 1.399 0.816 0.804 1.083 1.116 0.168 0 0.843 0.425 0.917 0.828 0.968 0.758
"2669" "FBtr0079432" 1.39 1.573 0.747 1.327 1.126 0.84 1.079 1.613 0.644 0.754 0.722 0.658 0.891 1.117 1.392 1.462 1.319 1.022 1.061 0.518 0.458 0.923
"2670" "FBtr0079433" 1.39 1.503 0.76 1.289 1.198 0.664 1.082 1.49 0.677 0.712 0.614 0.709 0.792 0.934 1.452 1.6 1.377 1.05 0.966 0.468 0.444 0.829
"2671" "FBtr0079434" 12.884 12.405 7.801 16.848 12.912 7.524 10.029 16.661 7.169 6.879 5.882 6.292 10.638 8.758 12.246 7.454 11.726 11.283 10.033 6.777 6.461 8.977
"2672" "FBtr0302164" 38.699 40.421 57.318 39.325 31.999 49.201 45.874 39.43 51.514 48.89 56.858 63.625 40.423 37.262 33.982 25.376 36.268 32.279 45.837 45.261 55.184 41.147
"2673" "FBtr0079435" 1.491 1.366 1.94 1.812 1.612 1.513 1.457 1.865 1.678 0.975 1.205 1.625 1.237 1.693 1.927 1.115 1.761 1.834 1.694 1.172 1.566 1.431
"2674" "FBtr0301316" 164.107 175.615 185.506 161.079 115.726 171.022 135.348 150.048 160.543 123.991 120.461 166.671 139.313 148.72 143.334 48.349 154.266 150.622 158.428 140.325 156.338 138.595
"2675" "FBtr0078043" 195.24 209.6 220.255 196.786 138.121 201.182 161.148 182.063 188.171 147.355 142.335 199.58 170.973 183.028 175.373 59.506 186.773 182.914 192.938 166.8 181.305 165.408
"2676" "FBtr0301317" 188.245 202.204 212.335 189.79 133.1 193.956 155.327 175.518 181.407 142.122 137.205 192.374 164.978 176.43 169.049 57.33 180.254 176.567 186.058 160.86 174.935 159.585
"2677" "FBtr0079436" 746.468 663.347 713.644 801.071 567.536 516.281 469.105 766.661 655.698 453.144 537.656 746.038 727.939 624.847 836.625 373.923 881.335 804.086 908.616 675.89 699.271 688.659
"2678" "FBtr0079437" 777.606 721.728 728.632 847.476 574.776 550.455 506.456 795.616 650.899 449.399 533.914 771.839 737.156 637.498 840.935 387.773 907.625 828.128 932.762 673.596 681.67 679.759
"2679" "FBtr0079469" 15.712 17.239 18.021 14.367 11.922 22.013 15.164 14.891 18 14.489 16.846 19.556 14.531 15.13 13.66 11.797 14.226 13.785 13.259 13.315 17.126 12.757
"2680" "FBtr0114587" 14.783 16.22 16.955 13.518 11.216 20.711 14.267 14.01 16.935 13.632 15.85 18.399 13.671 14.235 12.905 11.1 13.385 12.97 12.482 12.528 16.138 12.002
"2681" "FBtr0302588" 5.988 5.112 7.335 6.742 7.184 8.216 6.403 8.781 7.994 4.029 5.985 8.036 7.518 5.94 7.936 1.421 6.614 5.754 6.909 6.681 6.462 6.765
"2682" "FBtr0079468" 5.711 4.993 7.278 6.666 6.942 7.559 5.996 9.206 7.594 3.807 5.771 7.773 7.541 6.25 7.42 1.316 6.339 5.473 6.526 6.228 6.634 6.449
"2683" "FBtr0114588" 3.041 11.257 6.557 14.916 17.193 6.56 26.914 7.479 5.126 18.637 22.195 11.269 32.88 15.152 10.725 25.263 8.933 11.94 15.307 17.195 12.691 18.701
"2684" "FBtr0302587" 3.038 11.107 6.785 14.767 16.785 6.752 26.443 7.386 5.062 18.461 21.85 11.121 32.158 14.559 10.484 24.869 8.639 11.676 15.014 16.886 12.671 18.35
"2685" "FBtr0079439" 2.418 9.043 5.26 11.903 13.759 5.235 21.606 5.968 4.129 15.032 17.84 9.172 26.324 12.051 8.559 20.16 7.129 9.655 12.271 13.756 10.236 15.31
"2686" "FBtr0079440" 3.034 11.28 6.592 14.995 17.284 6.595 27.003 7.518 5.137 18.735 22.29 11.328 32.839 15.128 10.782 25.396 8.98 12.003 15.347 17.286 12.668 18.78
"2687" "FBtr0079441" 46.89 45.593 17.097 40.066 31.909 26.784 25.75 51.233 24.248 22.156 15.913 25.132 43.652 27.744 42.243 41.953 36.515 31.508 41.06 23.325 27.71 32.12
"2688" "FBtr0079467" 11.104 12.941 8.264 9.245 9.958 10.891 10.139 11.767 9.608 9.755 8.599 10.993 11.138 9.775 11.244 9.431 10.996 13.072 10.499 9.464 11.203 9.549
"2689" "FBtr0079443" 7.602 8.028 6.261 6.608 6.244 8.696 6.935 8.459 7.832 7.285 7.26 8.284 7.123 10.702 9.326 2.055 8.462 6.751 7.078 7.579 7.439 7.314
"2690" "FBtr0091560" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.368 0 2.227 0
"2691" "FBtr0091585" 0 0 0 0 0 0 0 1.178 0 0 0 0 0 0 0 0 0 0 1.368 0 0 0.997
"2692" "FBtr0079444" 85.383 87.039 73.581 87.405 88.724 80.882 98.682 91.372 79.567 86.881 98.367 85.107 83.314 81.168 89.333 45.83 85.078 80.913 81.92 80.45 75.867 72.872
"2693" "FBtr0079445" 85.426 86.675 73.965 87.318 92.015 82.274 98.381 92.627 79.486 89.271 97.9 88.373 84.523 79.139 87.24 50.808 85.203 78.018 81.134 81.905 76.705 73.386
"2694" "FBtr0079466" 3.242 26.447 6.318 25.784 43.374 6.554 68.711 12.874 3.638 18.222 30.227 13.919 62.931 49.512 39.852 44.482 19.729 36.737 31.43 37.632 23.247 29.799
"2695" "FBtr0079446" 108.447 105.062 35.079 117.881 80.232 65.156 85.377 86.607 49.079 61.562 47.557 60.017 121.814 71.334 117.579 91.309 105.966 142.424 99.404 66.919 69.921 67.389
"2696" "FBtr0301152" 51.984 50.999 17.347 56.718 38.749 31.751 41.469 41.833 24.354 29.523 23.333 29.632 59.922 35.166 56.263 47.59 52.014 67.036 48.448 32.839 34.588 33.216
"2697" "FBtr0079447" 107.687 105.798 35.864 117.626 80.412 65.852 86.063 86.929 50.063 60.937 48.109 60.837 124.314 72.918 116.903 99.386 107.831 139.017 100.349 67.964 71.199 68.562
"2698" "FBtr0079448" 117.589 115.666 39.195 128.375 88.009 71.92 94.042 94.733 54.628 66.366 52.556 66.452 135.723 79.539 127.868 108.776 117.75 152.084 109.604 74.187 77.616 74.936
"2699" "FBtr0079465" 48.663 43.004 63.515 52.012 55.756 56.341 45.292 46.547 54.173 55.471 56.649 56.363 35.672 37.686 32.277 37.753 27.184 27.48 33.406 35.259 37.223 34.896
"2700" "FBtr0079464" 44.204 39.25 58.188 47.485 51.997 50.748 41.316 41.144 49.452 50.163 51.09 50.883 33.048 33.642 29.451 32.26 24.498 25.045 30.502 31.606 33.529 31.43
"2701" "FBtr0301733" 38.719 40.081 57.878 38.78 32.301 49.607 46.433 39.847 51.041 49.432 56.265 63.192 41.902 36.808 33.909 22.607 35.255 32.82 46.396 46.409 56.153 40.896
"2702" "FBtr0079462" 0.573 0.453 0.474 0.568 0.711 0.222 0.504 0.178 0.619 0.384 0.322 0.648 0.556 0.271 0.307 2.838 0.526 0.177 0.381 0.329 0.503 0.586
"2703" "FBtr0079461" 0.513 0.44 0.455 0.512 0.624 0.225 0.484 0.162 0.627 0.339 0.361 0.604 0.483 0.196 0.269 2.877 0.533 0.179 0.366 0.301 0.442 0.579
"2704" "FBtr0079460" 0.596 0.69 0.477 0.514 0.634 0.298 0.545 0.204 0.82 0.355 0.487 0.68 0.482 0.222 0.334 2.767 0.559 0.226 0.434 0.374 0.513 0.575
"2705" "FBtr0079459" 0.625 0.525 0.48 0.578 0.65 0.3 0.485 0.273 1.008 0.358 0.441 0.774 0.536 0.223 0.551 2.732 0.675 0.397 0.427 0.557 0.549 0.593
"2706" "FBtr0079458" 0.517 0.393 0.444 0.563 0.61 0.22 0.499 0.193 0.672 0.343 0.319 0.59 0.498 0.191 0.262 2.81 0.52 0.233 0.347 0.31 0.432 0.55
"2707" "FBtr0300897" 18.622 18.456 21.626 17.576 12.391 20.781 15.442 14.618 19.423 16.152 17.122 20.543 12.381 13.886 13.594 3.561 15.862 13.344 14.972 12.867 15.157 12.232
"2708" "FBtr0301125" 1.614 0.873 1.541 1.031 0.46 1.844 1.346 1.394 1.355 1.464 1.198 1.908 0.818 1.195 0.825 0.145 0.67 0.728 1.192 0.677 1.184 1.087
"2709" "FBtr0079451" 1.53 0.97 1.414 0.968 0.599 1.771 1.31 1.238 1.249 1.423 1.092 1.801 0.771 1.215 0.759 0.125 0.94 0.632 1.105 0.647 1.028 1.036
"2710" "FBtr0079455" 192.946 129.749 45.278 161.746 172.95 83.538 138.929 222.954 66.381 50.111 45.066 37.189 124.021 204.016 206.646 309.883 156.205 212.152 105.616 43.18 76.022 87.95
"2711" "FBtr0112606" 30.789 33.646 26.655 27.145 22.965 34.705 25.613 28.585 33.087 25.896 25.748 28.377 24.721 24.01 31.065 8.707 34.502 31.55 26.626 26.415 27.084 20.658
"2712" "FBtr0112604" 31.542 34.34 27.144 28.003 22.718 34.806 26.044 29.13 33.345 26.828 25.913 29.131 25.152 24.541 31.457 9.784 35.191 31.959 26.692 27.109 27.148 20.818
"2713" "FBtr0112605" 26.583 29.074 23.008 23.391 19.871 29.992 22.235 24.933 28.478 22.465 22.209 24.364 21.405 21.042 26.8 7.448 29.66 27.52 22.973 22.861 23.458 17.931
"2714" "FBtr0112603" 25.279 27.678 21.886 22.19 18.939 28.719 21.193 23.846 27.107 21.566 21.024 23.026 20.261 20.347 25.47 6.917 28.251 26.211 21.854 21.746 22.315 17.071
"2715" "FBtr0301439" 10.994 12.41 9.603 10.507 5.22 10.328 9.457 10.697 8.52 9.295 9.115 6.937 8.865 12.566 12.596 3.285 12.21 14.343 11.066 11.364 11.463 9.479
"2716" "FBtr0078001" 13.079 13.624 11.256 12.034 8.324 12.888 10.196 12.799 11.693 10.067 9.749 10.887 11.16 13.969 14.313 4.558 15.172 14.8 13.28 12.711 14.57 12.897
"2717" "FBtr0078002" 12.252 12.422 10.427 10.957 8.693 12.58 9.19 11.695 11.336 8.956 8.588 10.968 10.739 12.528 13.455 4.923 14.844 13.258 12.597 11.783 13.964 12.879
"2718" "FBtr0079521" 0.118 0.129 0.233 2.507 0.719 0.415 0.867 0.663 0.389 1.734 1.981 0.488 0.371 0 0.195 0 0.273 0.275 0 0 0.313 0
"2719" "FBtr0079470" 0.052 0.148 0.614 0.738 0.583 1.148 0.636 1.158 0.879 0.487 0.898 1.015 0.033 0.143 0.017 0 0.144 0.073 0.165 0.116 0.083 0.074
"2720" "FBtr0079471" 69.926 45.384 4.135 58.592 22.18 9.977 32.059 49.422 12.212 11.655 8.626 16.142 107.995 48.881 130.456 84.473 115.879 178.835 131.032 28.872 40.848 41.954
"2721" "FBtr0079472" 2.172 2.007 0.422 3.135 1.222 0.602 1.286 1.592 0.591 0.363 0.488 0.465 1.36 0.72 2.88 2.832 1.746 1.463 1.384 0.741 0.851 0.813
"2722" "FBtr0079520" 106.041 89.145 95.33 120.39 68.345 78.039 62.971 141.686 105.835 82.399 82.426 98.31 99.594 103.405 139.5 51.785 125.962 113.78 147.831 145.647 133.486 115.959
"2723" "FBtr0114507" 3.06 3.32 4.113 3.069 1.424 5.684 3.238 2.111 4.064 3.704 3.255 4.542 2.676 1.978 2.373 1.256 1.27 2.11 2.913 2.941 2.917 3.015
"2724" "FBtr0079518" 190.783 170.703 172.564 175.499 155.168 165.822 156.412 209.085 139.019 140.14 147.808 161.288 215.553 227.894 271.126 116.205 261.724 271.697 292.164 270.668 247.667 229.072
"2725" "FBtr0079519" 186.483 166.712 168.73 171.5 151.618 161.969 152.699 204.302 135.799 136.977 144.2 157.912 210.446 222.391 264.637 113.28 255.312 265.037 285.201 264.101 242.018 223.551
"2726" "FBtr0079517" 167.786 148.963 153.731 153.274 136.256 147.749 137.945 183.091 123.061 123.645 131.253 142.616 186.433 199.845 235.004 101.444 227.224 235.25 252.249 238.357 216.719 199.321
"2727" "FBtr0100158" 193.021 172.713 174.647 177.551 157.031 167.853 158.304 211.569 140.61 141.81 149.586 163.198 218.144 230.638 274.316 117.628 264.821 274.989 295.685 273.945 250.554 231.813
"2728" "FBtr0079474" 4.856 4.652 2.87 4.25 3.24 3.387 4.1 5.188 3.449 2.549 2.428 3.933 5.605 3.825 5.581 1.748 6.51 4.849 7.227 5.042 5.928 4.724
"2729" "FBtr0079473" 2.682 2.575 1.731 2.335 1.81 1.77 2.303 2.739 1.797 1.511 1.46 2.087 3.032 2.016 3.058 1.035 3.502 2.43 3.871 2.696 3.172 2.431
"2730" "FBtr0079476" 4.761 4.591 2.767 4.124 3.107 3.364 3.935 5.13 3.36 2.5 2.382 3.822 5.474 3.746 5.508 1.691 6.389 4.714 6.999 4.89 5.813 4.576
"2731" "FBtr0079475" 2.669 2.581 1.693 2.299 1.76 1.788 2.242 2.754 1.777 1.503 1.452 2.058 3.007 2.006 3.066 1.015 3.491 2.399 3.804 2.653 3.159 2.389
"2732" "FBtr0079510" 25.111 33.012 13.508 40.077 52.598 19.155 64.507 34.659 15.528 41.852 38.245 21.011 82.097 32.072 44.128 35.886 26.702 47.384 37.662 32.39 25.218 36.43
"2733" "FBtr0079511" 25.634 33.588 13.664 40.825 53.683 19.349 65.502 35.444 15.783 42.247 38.691 21.321 83.38 32.669 44.954 36.392 27.098 48.293 38.221 32.772 25.653 36.979
"2734" "FBtr0079512" 25.614 33.598 13.683 40.729 53.544 19.406 66.125 35.116 15.715 42.359 38.801 21.375 83.873 32.554 44.814 36.459 27.295 48.438 38.198 32.896 25.688 37.198
"2735" "FBtr0079513" 25.558 33.499 13.549 40.612 53.421 19.384 65.262 35.328 15.697 42.389 38.563 21.363 82.763 32.525 45.077 36.173 27.154 47.983 38.005 32.734 25.465 36.92
"2736" "FBtr0079514" 25.697 33.65 13.714 40.835 53.74 19.432 65.975 35.488 15.761 42.476 38.856 21.447 83.745 32.619 44.895 36.662 27.3 48.388 38.285 32.94 25.533 37.109
"2737" "FBtr0079477" 11.793 8.958 6.514 11.33 8.574 7.484 7.013 8.868 7.53 10.748 6.533 8.374 7.224 7.697 9.638 5.27 7.538 6.676 8.284 8.122 6.281 6.411
"2738" "FBtr0079479" 0.678 0.648 1.053 0.73 0.727 0.779 0.465 0.665 0.92 0.503 0.635 0.791 0.422 1.202 0.867 2.262 0.558 0.704 0.657 0.449 0.508 0.551
"2739" "FBtr0089297" 5.287 8.118 7.823 8.588 15.11 5.578 4.714 1.114 11.451 5.179 6.388 5.025 3.325 12.943 12.547 45.66 2.443 6.163 4.742 3.6 1.403 5.341
"2740" "FBtr0302519" 2.233 2.96 0.75 1.027 0.838 1.156 1.962 1.487 0.764 0.715 0.841 1.707 2.585 1.509 4.548 1.553 5.413 4.36 3.343 1.272 2.563 1.685
"2741" "FBtr0302518" 0.967 0.936 0.829 1.525 1.378 0.915 0.619 1.138 0.829 1.323 0.416 0.645 1.74 1.194 1.59 2.981 1.248 0.793 1.444 1.028 1.566 1.332
"2742" "FBtr0079507" 7.007 7.517 5.71 8.731 10.339 5.357 6.212 8.277 4.716 16.413 6.62 6.326 13.071 6.555 7.03 7.359 7.171 8.923 10.449 8.098 10.612 8.621
"2743" "FBtr0300709" 5.211 7.711 9.663 10.275 12.474 4.982 10.91 9.561 4.816 14.519 7.712 7.925 19.827 9.119 10.555 18.277 10.977 10.271 13.693 6.62 11.761 9.762
"2744" "FBtr0079503" 2.722 2.791 5.333 2.803 2.448 4.435 5.079 2.652 4.015 4.272 4.424 6.207 3.738 3.262 1.876 0.902 1.899 1.592 2.414 3.122 3.143 3.56
"2745" "FBtr0079504" 2.737 2.807 5.364 2.819 2.462 4.46 5.109 2.667 4.038 4.297 4.449 6.243 3.76 3.281 1.887 0.908 1.91 1.601 2.428 3.141 3.161 3.581
"2746" "FBtr0079505" 2.818 2.91 5.531 2.904 2.45 4.572 5.272 2.765 4.152 4.432 4.553 6.411 3.837 3.4 1.9 0.847 1.98 1.626 2.481 3.237 3.258 3.694
"2747" "FBtr0114496" 2.776 2.847 5.439 2.841 2.497 4.498 5.173 2.704 4.068 4.357 4.502 6.331 3.813 3.327 1.914 0.92 1.937 1.59 2.462 3.184 3.168 3.631
"2748" "FBtr0079501" 0.657 0.753 1.304 0.826 0.513 1.086 1.068 0.928 0.888 0.992 0.756 1.263 0.818 0.547 0.604 0.328 0.275 0.48 0.596 0.664 0.618 0.695
"2749" "FBtr0079502" 1.018 1.197 2.088 1.397 0.917 1.791 1.843 1.22 1.429 1.623 1.086 1.865 1.339 0.916 1.003 0.604 0.415 0.791 0.92 1.149 1.06 1.115
"2750" "FBtr0079500" 0.766 0.954 0.218 1.105 0.559 0.466 0.464 2.484 0.375 0.39 0.089 0.384 0.278 0.203 0.244 0.191 0 0.309 0.108 0 0.235 0.131
"2751" "FBtr0079499" 0.896 0.498 0.872 0.828 0.207 0.324 0.29 1.112 0.347 0.523 0.371 0.198 0.193 0.113 0.528 2.226 0.511 0.601 0.405 0.205 0.293 0.306
"2752" "FBtr0290272" 23.255 33.022 1.952 20.677 11.514 3.19 13.784 33.205 4.944 2.989 4.834 5.248 19.246 5.468 37.443 22.672 26.04 35.251 14.01 3.608 5.982 6.926
"2753" "FBtr0079482" 2.587 2.419 2.406 2.146 1.848 2.387 1.769 1.385 2.836 1.361 2.477 2.305 1.978 1.136 1.1 0 2.352 2.126 2.231 1.628 2.223 2.205
"2754" "FBtr0079484" 1.52 1.256 1.355 0.78 1.229 1.208 0.721 0.877 1.5 1.101 0.964 0.955 0.916 2.389 0.448 2.966 1.01 0.728 1.095 1.082 0.912 1.15
"2755" "FBtr0079483" 3.148 2.814 2.777 2.493 1.753 2.757 1.963 1.377 3.222 1.047 3.11 2.415 2.204 1.2 1.219 0 2.552 1.994 2.703 1.875 2.885 2.71
"2756" "FBtr0079485" 8.439 5.445 8.497 6.957 5.797 11.548 6.315 6.835 8.47 7.4 7.427 6.549 6.31 8.81 6.409 5.548 5.278 5.492 5.879 6.673 8.399 7.988
"2757" "FBtr0079488" 10.386 9.818 11.004 10.258 10.059 11.096 8.15 11.332 10.447 10.847 9.255 10.577 9.572 12.624 12.957 7.765 11.946 10.473 11.78 10.14 12.228 10.434
"2758" "FBtr0079496" 19.161 19.958 18.004 17.922 17.204 14.48 15.523 18.425 18.195 13.438 14.421 20.825 21.716 17.787 17.454 5.87 20.939 17.305 19.603 14.21 15.821 16.87
"2759" "FBtr0079495" 4.297 6.538 11.54 4.537 13.428 8.382 19.76 5.524 6.193 14.152 27.153 15.486 20.715 15.437 11.163 13.229 10.002 13.844 15.152 20.194 15.335 13.691
"2760" "FBtr0079494" 20.679 23.178 26.601 23.837 38.124 26.851 31.267 23.518 25.251 40.43 36.223 35.438 26.267 27.747 26.854 16.229 22.39 21.455 20.326 27.46 22.655 25.397
"2761" "FBtr0079493" 24.193 27.727 30.229 28.7 42.803 33.415 36.23 26.552 29.058 47.842 42.645 39.909 30.415 33.038 30.729 16.921 25.645 25.115 23.831 31.372 27.305 29.324
"2762" "FBtr0301329" 11.796 12.261 8.549 9.89 11.64 11.684 9.955 13.41 8.257 11.644 9.618 11.127 13.625 12.199 15.481 7.11 11.68 12.191 11.225 11.427 11.5 11.896
"2763" "FBtr0079489" 11.853 12.881 10.566 9.854 12.256 11.776 10.024 14.011 10.811 11.291 9.742 13.018 13.206 12.246 13.934 8.867 11.969 11.316 11.179 10.588 11.952 12.229
"2764" "FBtr0079492" 27.365 29.416 29.68 28.896 23.596 28.659 25.656 27.559 25.337 25.537 23.434 25.236 22.097 26.856 27.465 4.631 24.449 25.168 23.936 25.433 24.527 23.011
"2765" "FBtr0301330" 27.487 29.634 30.351 29.634 22.87 29.142 26.269 27.377 26.408 26.402 24.381 26.204 22.575 25.897 26.842 3.812 24.095 24.479 23.813 25.065 24.335 22.381
"2766" "FBtr0301331" 26.563 28.342 28.648 27.874 22.714 27.921 24.868 26.818 24.626 24.703 22.67 24.492 21.43 25.942 26.638 5.319 23.688 24.424 23.214 24.655 23.799 22.403
"2767" "FBtr0079490" 3.196 2.321 2.088 2.946 2.705 2.775 2.389 2.508 2.156 3.495 2.052 2.614 4.184 3.551 3.696 1.951 2.888 3.218 3.616 4.077 3.063 3.155
"2768" "FBtr0079491" 3.319 2.434 2.175 3.047 2.834 2.939 2.48 2.612 2.244 3.637 2.156 2.714 4.348 3.721 3.869 2.05 3.02 3.366 3.778 4.267 3.201 3.308
"2769" "FBtr0079523" 27.673 25.109 29.527 29.28 25.349 29.478 24.742 31.171 27.086 26.639 23.318 32.831 23.139 23.926 25.436 3.086 20.25 17.707 23.265 24.777 20.061 21.535
"2770" "FBtr0079524" 30.812 28.056 32.492 32.51 28.446 32.001 27.519 35.182 30.031 29.409 26.032 37.174 26.021 26.072 27.78 3.605 22.598 19.348 25.17 27.331 22.25 24.199
"2771" "FBtr0079565" 629.254 685.573 664.688 742.323 880.015 609.65 1021.603 861.999 631.123 791.51 851.809 585.512 782.823 936.622 1063.198 1285.074 761.038 968.207 715.34 970.621 769.282 787.768
"2772" "FBtr0079525" 110.093 121.715 121.7 113.427 116.742 125.701 111.6 137.887 112.783 119.238 119.063 128.639 148.673 132.42 124.713 72.235 122.826 118.658 123.597 110.641 124.017 125.669
"2773" "FBtr0079564" 7.466 7.312 7.354 5.68 3.706 7.974 6.462 9.33 5.956 5.104 6.232 4.617 5.241 5.912 6.442 0.319 5.75 7.34 5.857 7.493 5.836 4.423
"2774" "FBtr0079527" 2.811 23.074 23.92 26.975 53.39 15.476 36.376 8.949 9.367 128.321 104.763 34.779 46.456 11.291 12.295 23.653 10.485 19.878 16.24 24.914 19.586 17.922
"2775" "FBtr0079563" 0.89 1.636 5.124 3.298 5.23 2.17 2.393 3.466 2.783 11.496 6.298 4.566 4.752 1.493 3.833 3.965 1.923 2.475 2.422 2.522 2.627 2.762
"2776" "FBtr0078042" 4.762 4.156 2.819 5.775 3.21 4.761 6.042 6.587 2.451 1.81 3.484 3.487 3.387 2.518 6.192 1.227 4.424 3.767 4.385 2.324 1.926 2.071
"2777" "FBtr0079562" 22.091 21.726 22.517 19.679 11.763 28.244 16.215 20.561 25.111 20.067 19.443 22.346 15.649 23.71 19.235 14.772 18.69 19.679 16.07 23.844 22.297 20.211
"2778" "FBtr0079528" 0.362 0.199 0.536 0 0.255 0 0 0.382 0 0.799 0 0.674 0.57 0 0.3 3.521 0 1.267 0.222 0.673 0.721 1.615
"2779" "FBtr0079561" 3.597 2.058 0.851 2.269 2.652 2.023 1.699 2.519 1.682 2.172 2.306 1.457 2.475 1.968 3.358 0.065 1.923 1.659 1.975 1.715 1.426 1.565
"2780" "FBtr0079559" 0.626 0.323 0.797 0.517 0.845 1.057 0.384 0.251 0.787 0.506 0.656 0.714 0.63 1.064 0.736 1.379 0.999 0.35 0.774 0.547 0.598 0.692
"2781" "FBtr0079560" 34.349 35.387 26.281 30.066 27.893 31.049 32.209 29.738 32.556 26.402 31.832 30.124 47.165 34.427 42.989 81.643 40.254 38.799 34.753 34.291 39.293 44.52
"2782" "FBtr0110879" 19.297 22.699 20.849 17.714 16.791 21.468 20.175 14.474 18.049 17.681 19.65 23.328 23.39 15.466 19.852 18.707 20.321 18.364 15.789 16.985 23.343 24.025
"2783" "FBtr0112717" 7.201 8.3 6.866 6.377 5.046 8.862 8.362 5.869 6.98 7.481 7.839 6.138 5.45 7.097 6.611 2.899 6.675 6.511 5.966 6.369 6.858 5.598
"2784" "FBtr0112718" 8.456 9.795 8.251 7.586 6.046 10.19 9.984 6.954 8.273 8.824 9.372 7.283 6.542 8.374 7.829 3.561 7.894 7.752 7.104 7.561 8.178 6.653
"2785" "FBtr0112719" 8.212 9.469 7.842 7.241 5.812 10.093 9.575 6.704 7.964 8.563 8.983 7.023 6.221 8.146 7.569 3.316 7.635 7.433 6.796 7.3 7.804 6.407
"2786" "FBtr0112721" 8.404 9.948 8.222 7.754 6.015 10.414 9.855 6.907 8.51 9.016 9.259 7.743 6.583 8.398 7.501 3.16 8.092 7.644 6.872 7.721 8.196 6.816
