"Transcript" "M1-10" "M1-13" "M1-28" "M1-3" "M1-30" "M1-31" "M1-32" "M1-8" "M2-13" "M2-14" "M2-15" "M2-17" "M3-26" "M3-28" "M3-4" "M3-5" "M3-8" "M3-9" "M4-1" "M4-17" "M4-18" "M4-21"
"31" "FBtr0079951" 45.556 50.16 40.593 53.711 61.327 45.403 63.905 58.05 40.525 64.259 60.628 48.72 91.238 57.886 58.336 84.975 54.994 52.152 64.881 72.426 62.219 72.289
"32" "FBtr0079952" 45.217 50.355 40.417 54.007 59.528 45.173 63.997 54.18 39.779 62.306 61.685 50.017 91.165 56.294 57.028 77.668 54.525 51.297 64.414 71.347 62.469 71.136
"33" "FBtr0078104" 13.589 13.752 10.716 13.878 15.281 13.093 14.943 12.909 12.586 14.323 14.665 14.507 13.816 11.28 11.277 8.591 13.424 15.424 15.796 11.561 14.577 12.141
"34" "FBtr0079975" 31.366 37.701 36.163 34.408 28.654 38.725 35.444 28.718 37.777 35.224 32.844 39.633 36.793 28.217 29.267 11.911 33.608 28.875 34.612 32.437 34.602 33.062
"35" "FBtr0079976" 31.365 37.874 36.812 34.479 29.34 39.109 35.844 28.765 38.458 35.678 33.338 40.194 37.063 28.972 29.887 11.77 33.662 28.908 35.327 32.568 35.21 33.912
"36" "FBtr0080088" 20.935 21.635 35.16 22.214 21.272 33.733 24.639 17.333 30.772 29.133 29.621 32.952 23.943 24.962 20.93 11.508 18.472 17.549 20.738 26.218 28.037 22.391
"37" "FBtr0300981" 53.527 60.546 64.137 54.598 44.564 57.906 51.102 44.628 68.16 44.391 53.307 72.324 59.917 46.018 57.219 45.423 60.297 50.059 65.006 49.631 72.361 56.221
"38" "FBtr0300982" 62.39 70.453 74.927 63.625 51.591 66.936 59.316 52.173 79.73 51.88 62.032 84.427 69.699 53.382 66.865 52.959 70.126 58.188 75.863 58.256 84.399 65.579
"39" "FBtr0302378" 53.534 60.511 64.09 54.556 44.478 57.746 50.93 44.571 68.282 44.442 53.037 72.347 59.855 46.006 57.347 45.12 60.291 50.075 64.984 49.872 72.191 56.216
"40" "FBtr0080087" 64.382 72.932 77.857 65.561 53.448 68.764 61.346 53.958 82.888 53.284 64.055 86.56 71.624 55.422 68.083 54.801 72.375 60.664 77.743 59.486 86.724 67.117
"41" "FBtr0079977" 11.822 13.216 15.663 13.612 13.276 14.433 16.118 9.572 15.987 15.242 18.397 17.222 20.225 11.736 13.104 22.889 17.157 15.947 18.564 15.636 17.439 17.185
"42" "FBtr0079978" 5.307 5.548 6.039 4.788 4.06 6.769 4.074 4.835 6.156 3.928 5.145 6.679 4.194 4.982 4.389 5.309 4.741 4.982 5.344 4.934 5.626 5.088
"43" "FBtr0080086" 48.74 54.77 48.116 45.122 43.167 61.544 47.58 56.237 51.132 50.431 50.248 59.76 53.457 50.217 50.037 58.068 53.714 42.631 46.113 42.924 60.02 55.076
"44" "FBtr0089900" 8.498 9.465 10.071 8.511 8.051 9.437 7.459 8.616 12.183 7 7.374 11.485 9.507 8.017 6.612 1.951 8.516 8.215 9.496 6.376 10.934 8.106
"45" "FBtr0089901" 8.659 9.85 10.616 8.437 8.483 9.997 7.636 9.104 12.494 7.323 7.742 11.855 9.643 8.598 6.683 2.873 8.807 8.121 9.7 6.581 11.163 8.738
"46" "FBtr0089902" 8.333 9.178 9.969 8.347 7.576 8.904 7.243 8.756 11.461 7.2 7.326 11.211 9.656 7.91 6.447 2.297 8.209 8.383 9.421 6.599 10.559 7.434
"47" "FBtr0089904" 9.542 10.216 10.833 9.674 8.765 10.459 8.27 8.891 13.698 7.925 8.442 12.812 10.448 8.262 7.033 4.089 9.021 9.181 10.181 7.045 11.751 8.48
"48" "FBtr0089905" 9.603 10.509 11.275 9.508 9.106 10.892 8.366 9.32 13.859 8.147 8.693 13.044 10.496 8.779 7.064 4.765 9.248 9.013 10.313 7.179 11.895 9.034
"49" "FBtr0301521" 9.246 9.856 10.492 9.328 8.377 10.452 8.114 8.805 13.255 7.724 8.118 12.603 10.15 7.906 6.893 3.901 8.752 9.128 9.855 6.859 11.4 8.184
"50" "FBtr0300562" 8.913 9.476 10.079 8.959 8.04 10.023 7.824 8.517 12.712 7.402 7.804 12.135 9.771 7.561 6.593 3.731 8.406 8.73 9.481 6.578 10.983 7.846
"51" "FBtr0080079" 57.874 60.058 54.065 52.14 55.124 59.714 51.388 59.246 56.78 45.287 48.409 47.657 51.848 61.094 60.073 34.355 53.488 63.775 54.049 53.009 55.465 51.971
"52" "FBtr0089735" 67.17 82.183 130.103 81.702 73.138 127.089 97.156 61.762 112.682 99.749 138.111 151.346 97.906 110.017 77.741 132.16 66.027 64.623 93.388 116.798 133.012 127.775
"53" "FBtr0089736" 67.492 82.577 130.727 82.094 73.489 127.699 97.623 62.059 113.223 100.228 138.773 152.073 98.376 110.545 78.114 132.795 66.344 64.933 93.836 117.358 133.651 128.389
"54" "FBtr0089737" 67.907 83.109 131.569 82.623 73.846 128.522 98.252 62.458 113.953 100.874 139.667 153.052 99.01 111.257 78.617 133.65 66.771 65.351 94.441 118.114 134.512 129.216
"55" "FBtr0089738" 67.58 82.71 130.937 82.226 73.491 127.904 97.779 62.158 113.405 100.389 138.996 152.317 98.534 110.722 78.239 133.007 66.45 65.037 93.987 117.546 133.865 128.595
"56" "FBtr0079983" 16.021 19.185 18.22 17.878 16.69 19.188 16.257 17.593 22.411 15.846 17.698 24.232 18.379 20.788 17.317 15.218 17.658 16.235 17.657 15.429 21.692 16.348
